127.0.0.1 | GET / 
127.0.0.1 | GET http 
127.0.0.1 | GET 127.0.0.1 
127.0.0.1 | GET / 
127.0.0.1 | GET <starlette.middleware.base._StreamingResponse object at 0x000001A868521A30> 
127.0.0.1 | GET None 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | POST 
127.0.0.1 | POST 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | GET 
127.0.0.1 | POST 
